"AssetID","AssetType","Description","County","City","Latitude","Longitude","InstallDate","LastInspection","OwningAgency"
"SIGN-001","Road Sign","Portland Road Sign asset 1","Multnomah","Portland","45.5173","-122.6808","2018-02-21","2026-08-17","ODOT"
"WTR-002","Water System","Hillsboro Water System asset 2","Washington","Hillsboro","45.5271","-122.9946","2018-03-30","2026-08-14","Parks & Rec"
"PARK-003","Park Asset","Oregon City Park Asset asset 3","Clackamas","Oregon City","45.3636","-122.614","2018-05-06","2026-08-11","Public Works"
"BLDG-004","Building","Salem Building asset 4","Marion","Salem","44.9513","-123.0447","2018-06-12","2026-08-08","Facilities Mgmt"
"FAC-005","Facility","Eugene Facility asset 5","Lane","Eugene","44.0626","-123.0868","2018-07-19","2026-08-05","Water Bureau"
"SIGN-006","Road Sign","Bend Road Sign asset 6","Deschutes","Bend","44.0708","-121.3177","2018-08-25","2026-08-02","ODOT"
"WTR-007","Water System","Portland Water System asset 7","Multnomah","Portland","45.5152","-122.6832","2018-10-01","2026-07-30","Parks & Rec"
"PARK-008","Park Asset","Hillsboro Park Asset asset 8","Washington","Hillsboro","45.525","-122.997","2018-11-07","2026-07-27","Public Works"
"BLDG-009","Building","Oregon City Building asset 9","Clackamas","Oregon City","45.3615","-122.6164","2018-12-14","2026-07-24","Facilities Mgmt"
"FAC-010","Facility","Salem Facility asset 10","Marion","Salem","44.9492","-123.0351","2019-01-20","2026-07-21","Water Bureau"
"SIGN-011","Road Sign","Eugene Road Sign asset 11","Lane","Eugene","44.0605","-123.0892","2019-02-26","2026-07-18","ODOT"
"WTR-012","Water System","Bend Water System asset 12","Deschutes","Bend","44.0687","-121.3201","2019-04-04","2026-07-15","Parks & Rec"
"PARK-013","Park Asset","Portland Park Asset asset 13","Multnomah","Portland","45.5278","-122.6856","2019-05-11","2026-07-12","Public Works"
"BLDG-014","Building","Hillsboro Building asset 14","Washington","Hillsboro","45.5229","-122.9994","2019-06-17","2026-07-09","Facilities Mgmt"
"FAC-015","Facility","Oregon City Facility asset 15","Clackamas","Oregon City","45.3594","-122.6068","2019-07-24","2026-07-06","Water Bureau"
"SIGN-016","Road Sign","Salem Road Sign asset 16","Marion","Salem","44.9471","-123.0375","2019-08-30","2026-07-03","ODOT"
"WTR-017","Water System","Eugene Water System asset 17","Lane","Eugene","44.0584","-123.0916","2019-10-06","2026-06-30","Parks & Rec"
"PARK-018","Park Asset","Bend Park Asset asset 18","Deschutes","Bend","44.0666","-121.3225","2019-11-12","2026-06-27","Public Works"
"BLDG-019","Building","Portland Building asset 19","Multnomah","Portland","45.5257","-122.688","2019-12-19","2026-06-24","Facilities Mgmt"
"FAC-020","Facility","Hillsboro Facility asset 20","Washington","Hillsboro","45.5355","-122.9898","2020-01-25","2026-06-21","Water Bureau"
"SIGN-021","Road Sign","Oregon City Road Sign asset 21","Clackamas","Oregon City","45.3573","-122.6092","2020-03-02","2026-06-18","ODOT"
"WTR-022","Water System","Salem Water System asset 22","Marion","Salem","44.945","-123.0399","2020-04-08","2026-06-15","Parks & Rec"
"PARK-023","Park Asset","Eugene Park Asset asset 23","Lane","Eugene","44.0563","-123.094","2020-05-15","2026-06-12","Public Works"
"BLDG-024","Building","Bend Building asset 24","Deschutes","Bend","44.0645","-121.3249","2020-06-21","2026-06-09","Facilities Mgmt"
"FAC-025","Facility","Portland Facility asset 25","Multnomah","Portland","45.5236","-122.6784","2020-07-28","2026-06-06","Water Bureau"
"SIGN-026","Road Sign","Hillsboro Road Sign asset 26","Washington","Hillsboro","45.5334","-122.9922","2020-09-03","2026-06-03","ODOT"
"WTR-027","Water System","Oregon City Water System asset 27","Clackamas","Oregon City","45.3699","-122.6116","2020-10-10","2026-05-31","Parks & Rec"
"PARK-028","Park Asset","Salem Park Asset asset 28","Marion","Salem","44.9429","-123.0423","2020-11-16","2026-05-28","Public Works"
"BLDG-029","Building","Eugene Building asset 29","Lane","Eugene","44.0542","-123.0964","2020-12-23","2026-05-25","Facilities Mgmt"
"FAC-030","Facility","Bend Facility asset 30","Deschutes","Bend","44.0624","-121.3153","2021-01-29","2026-05-22","Water Bureau"
"SIGN-031","Road Sign","Portland Road Sign asset 31","Multnomah","Portland","45.5215","-122.6808","2021-03-07","2026-05-19","ODOT"
"WTR-032","Water System","Hillsboro Water System asset 32","Washington","Hillsboro","45.5313","-122.9946","2021-04-13","2026-05-16","Parks & Rec"
"PARK-033","Park Asset","Oregon City Park Asset asset 33","Clackamas","Oregon City","45.3678","-122.614","2021-05-20","2026-05-13","Public Works"
"BLDG-034","Building","Salem Building asset 34","Marion","Salem","44.9555","-123.0447","2021-06-26","2026-05-10","Facilities Mgmt"
"FAC-035","Facility","Eugene Facility asset 35","Lane","Eugene","44.0521","-123.0868","2021-08-02","2026-05-07","Water Bureau"
"SIGN-036","Road Sign","Bend Road Sign asset 36","Deschutes","Bend","44.0603","-121.3177","2021-09-08","2026-05-04","ODOT"
"WTR-037","Water System","Portland Water System asset 37","Multnomah","Portland","45.5194","-122.6832","2021-10-15","2026-05-01","Parks & Rec"
"PARK-038","Park Asset","Hillsboro Park Asset asset 38","Washington","Hillsboro","45.5292","-122.997","2021-11-21","2026-04-28","Public Works"
"BLDG-039","Building","Oregon City Building asset 39","Clackamas","Oregon City","45.3657","-122.6164","2021-12-28","2026-04-25","Facilities Mgmt"
"FAC-040","Facility","Salem Facility asset 40","Marion","Salem","44.9534","-123.0351","2022-02-03","2026-04-22","Water Bureau"
