"Title","IssueID","IssueType","Description","PhotoUrl","Latitude","Longitude","LocationAddress","County","City","Agency","ReportedBy","ReportedDate","AIAnalysis","AIDetectedConditions","Severity","RecommendedPriority","RecommendedAction","AIConfidence","Status","AssignedTo","ApprovedBy","ApprovalDate","ResolvedDate","ResolutionNotes","EstimatedCost","AssetID","DuplicateOf"
"Road Sign report 001","FI-00001","Road Sign","Field report 1 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-1.jpg","45.517300","-122.680800","101 SW Demo Ave, Metro City","North County","Metro City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-09-10T10:00:00","AI detected vegetation obstruction; standing water and recommends P1 handling.","vegetation obstruction; standing water","Critical","P1","Dispatch ODOT crew to inspect, secure area, and complete repair.","71","New","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","387","SIGN-001",""
"Road Sign report 002","FI-00002","Road Sign","Field report 2 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-2.jpg","45.517300","-122.680800","102 SW Demo Ave, Metro City","North County","Metro City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-09-13T11:00:00","AI detected water damage; missing hardware and recommends P1 handling.","water damage; missing hardware","Critical","P1","Dispatch ODOT crew to inspect, secure area, and complete repair.","72","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","524","SIGN-001","FI-00001"
"Road Sign report 003","FI-00003","Road Sign","Field report 3 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-3.jpg","45.517300","-122.680800","103 SW Demo Ave, Metro City","North County","Metro City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-09-16T12:00:00","AI detected structural damage; trip hazard and recommends P1 handling.","structural damage; trip hazard","Critical","P1","Dispatch ODOT crew to inspect, secure area, and complete repair.","73","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-09-16T18:00:00","","","661","SIGN-001","FI-00001"
"Road Sign report 004","FI-00004","Road Sign","Field report 4 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-4.jpg","45.517300","-122.680800","104 SW Demo Ave, Metro City","North County","Metro City","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-09-19T13:00:00","AI detected standing water; corrosion and recommends P1 handling.","standing water; corrosion","Critical","P1","Dispatch ODOT crew to inspect, secure area, and complete repair.","74","In Progress","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-09-19T19:00:00","","","798","SIGN-001","FI-00001"
"Facilities report 005","FI-00005","Facilities","Field report 5 for Facilities requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-5.jpg","44.062600","-123.086800","105 SW Demo Ave, Lakeside","River County","Lakeside","Parks & Rec","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-09-22T14:00:00","AI detected missing hardware; graffiti and recommends P4 handling.","missing hardware; graffiti","Low","P4","Dispatch Parks & Rec crew to inspect, secure area, and complete repair.","75","AI Analyzed","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","935","FAC-005",""
"Road Sign report 006","FI-00006","Road Sign","Field report 6 for Road Sign requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-6.jpg","44.070800","-121.317700","106 SW Demo Ave, Summit","Mountain County","Summit","Public Works","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-09-25T15:00:00","AI detected trip hazard; vegetation obstruction and recommends P2 handling.","trip hazard; vegetation obstruction","High","P2","Dispatch Public Works crew to inspect, secure area, and complete repair.","76","Assigned","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-09-25T21:00:00","","","1072","SIGN-006",""
"Water Leak report 007","FI-00007","Water Leak","Field report 7 for Water Leak requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-7.jpg","45.515200","-122.683200","107 SW Demo Ave, Metro City","North County","Metro City","Facilities Mgmt","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-09-28T16:00:00","AI detected corrosion; water damage and recommends P3 handling.","corrosion; water damage","Medium","P3","Dispatch Facilities Mgmt crew to inspect, secure area, and complete repair.","77","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-09-28T22:00:00","2025-10-06T16:00:00","Repair completed and verified.","1209","WTR-007",""
"Park Maintenance report 008","FI-00008","Park Maintenance","Field report 8 for Park Maintenance requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-8.jpg","45.525000","-122.997000","108 SW Demo Ave, Hillview","West County","Hillview","Water Bureau","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-10-01T09:00:00","AI detected graffiti; structural damage and recommends P4 handling.","graffiti; structural damage","Low","P4","Dispatch Water Bureau crew to inspect, secure area, and complete repair.","78","Rejected","dispatcher@<YOUR-TENANT>.onmicrosoft.com","","","","","1346","PARK-008",""
"Building Inspection report 009","FI-00009","Building Inspection","Field report 9 for Building Inspection requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-9.jpg","45.361500","-122.616400","109 SW Demo Ave, Riverton","South County","Riverton","ODOT","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-10-04T10:00:00","AI detected vegetation obstruction; standing water and recommends P4 handling.","vegetation obstruction; standing water","Low","P4","Dispatch ODOT crew to inspect, secure area, and complete repair.","79","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-10-04T16:00:00","2025-10-05T10:00:00","Repair completed and verified.","1483","BLDG-009",""
"Facilities report 010","FI-00010","Facilities","Field report 10 for Facilities requiring agency review.","https://<YOUR-TENANT>.sharepoint.com/sites/FieldInspectionDemo/SiteAssets/demo/field-issue-10.jpg","44.949200","-123.035100","110 SW Demo Ave, Capital City","Central County","Capital City","Parks & Rec","field.inspector@<YOUR-TENANT>.onmicrosoft.com","2025-10-07T11:00:00","AI detected water damage; missing hardware and recommends P3 handling.","water damage; missing hardware","Medium","P3","Dispatch Parks & Rec crew to inspect, secure area, and complete repair.","80","Resolved","dispatcher@<YOUR-TENANT>.onmicrosoft.com","agency.manager@<YOUR-TENANT>.onmicrosoft.com","2025-10-07T17:00:00","2025-10-09T11:00:00","Repair completed and verified.","1620","FAC-010",""
